OBSID1,OBSID2,STUDYID,CRN_SUBCMP,DBDOI,DBVERNO,CNTRY,REGION_INT,BASIN,AHGFL1,REFDBID,OAID,AUTHOR,PUBYEAR,REFID,REFDOI,MATERIAL,SIZEMIN,SIZEMAX,PROJEPSGID,PROJECTION,AREA,ELEV_AVE,ELEV_STD,SLP_AVE,SLP_STD,SMP_DAY,SMP_MONTH,SMP_YEAR,SMP_COMMT,BE10NP,BE10NP_ERR,BE10EP,BE10EP_ERR,BESTND,BECORR,BEAMS,BE10NC,BE10NC_ERR,EBE_MMKYR,EBE_ERR,AL26NP,AL26NP_ERR,AL26EP,AL26EP_ERR,ALSTND,ALCORR,ALAMS,AL26NC,AL26NC_ERR,EAL_MMKYR,EAL_ERR,IGSNID,CENTR_LAT,ATM_PRESS,QTZ_PCNT,GLA_KM2,GLA_PCNT,BEPROD,BETOPO,BESELF,BESNOW,BETOTS,EBE_GCMYR,ERRBE_AMS,ERRBE_MUON,ERRBE_PROD,ERRBE_TOT,EBEL,EBEL_INT,EBEL_EXT,EBELNS,EBELNS_INT,EBELNS_EXT,EBEGLA,EBEGLA_ERR,EBE_DIFF,ALPROD,ALTOPO,ALSELF,ALSNOW,ALTOTS,EAL_GCMYR,ERRAL_AMS,ERRAL_MUON,ERRAL_PROD,ERRAL_TOT,EALL,EALL_INT,EALL_EXT,EALLNS,EALLNS_INT,EALLNS_EXT,REGION_REG,DIV_ADMIN,AHGFL2,RIVNAME,RIVDIV,IBRACODE,IBRAREGION,SLP_deg,rock_major,rock_count,MAP,MAT,AI,NDVI_STS
S141WTS002,Yan,S141,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),IND,Transhimalaya,Tsomoriri lake,NA,Munack:2016indus,OAID-000111,Munack,2016,Quaternary_Sci_Rev_149,10.1016/j.quascirev.2016.07.030,Sa,125,500,32643,WGS84_UTM_43N,270.3,5513.65,254.66,276.12,149.41,-9999,8,2011,NA,2658000,69000,25.46,0.67,07KNSTD,1,ANSTO,2658000,69000,23.53,4.24,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,33.0618,512.69,1,25.96,9.62,24.41,0.991,1,1,24.187,0.00624,0.00016,0.00006,0.00111,0.00112,26,0.68,1.69,26.2,0.69,1.71,20.94,3.78,11.65,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,15.4358997,mt,51,176.1549988,-8.43993,1909.099976,0.0962324
S075WTS009,WR5,S075,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Washington Cascades (WA),ND,NA,Moon:2011washington,OAID-000108,Moon,2011,Nat_Geosci_4,10.1038/ngeo1159,Sa,250,500,32610,WGS84_UTM_10N,238.04,1348,329.42,417.32,206.69,-9999,-9999,-9999,NA,36300,1000,280.83,20.64,07KNSTD,1,LLNL-CAMS,36300,1000,244.15,47.62,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,47.747,858.05,100,0.03,0.01,3.252,0.973,1,1,3.167,0.0647,0.00179,0.00369,0.01193,0.01262,242,6.67,15.8,248,6.83,16.2,244.08,47.61,0.03,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,22.6518002,mt,72,1644.180054,3.9242001,17418.5,0.737846
S304WTS005,DB05,S304,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,W ITA Alps,Dora Baltea (trib.),NA,Serra:2022dora,OAID-001022,Serra,2022,Earth_Surf_Dynamics_10,10.5194/esurf-10-493-2022,Sa,250,400,32632,WGS84_UTM_32N,257.45,2457.29,564.55,545.39,255.45,-9999,-9999,-9999,NA,20500,1000,850,60,S2007N,1,ETH-Zurich,20500,1000,903.41,170.07,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,45.6055,742.59,30,20.93,8.13,7.204,0.95,1,1,6.871,0.2394,0.01171,0.00733,0.0429,0.04507,984,48,75.3,1030,50.4,79.1,788.98,148.9,13.52,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,28.6075993,mt,74,1142.030029,0.114006,13731.2998,0.407215
S293WTS010,T10,S293,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Himalayan Syntaxis,Parlung tributary,NA,Zhang:2021paired,OAID-001017,Zhang,2021,Earth_Surf_Proc_Land_46,10.1002/esp.5105,Sa,250,500,32646,WGS84_UTM_46N,284.95,4791.19,411.79,489.29,278.84,-9999,8,2016,NA,49700,2300,722,66,07KNSTD,1,Tianjin,49700,2300,818.55,149.97,333200,16900,-9999.99,-9999.99,KNSTD,1,Tianjin,333200,16900,888.72,163.75,NA,29.7285,564.56,78,39.53,13.9,16.059,0.956,1,1,15.4,0.21692,0.01007,0.0034,0.0383,0.03974,649,30,48.7,676,31.3,50.7,681.68,124.99,18.25,16.059,0.956,1,1,15.4,0.23551,0.01199,0.00345,0.04156,0.04339,647,32.8,64.6,674,34.2,67.3, , , , , , , ,26.0720005,pa,78,668.1099854,-2.4549699,8520.120117,0.201538
S101WTS021,Nurla,S101,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),IND,Transhimalaya,Upper Indus,NA,Munack:2014outpaced,OAID-000111,Munack,2014,Geol_Soc_Am_Bull_126,10.1130/B30979.1,Sa,125,500,32644,WGS84_UTM_44N,208.89,4721.4,633.09,464.6,205.1,-9999,8,2010,NA,1360197,43314,35.18,3.06,S2007,0.9124,ETH-Zurich,1360197,43314,33.97,6.16,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,34.4122,564.04,100,16.32,7.83,18.317,0.967,1,1,17.725,0.009,0.00029,0.00011,0.0016,0.00163,36.3,1.17,2.45,37.4,1.2,2.53,30.45,5.53,10.93,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,24.9195995,pa,85,110.887001,-4.8707199,1140.030029,0.109365
S088WTS004,Sav-S06,S088,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,Central Eastern Italian Alps,Zielbach catchment,NA,Savi:2014zielbach,OAID-000146,Savi,2014,Quat_Geochronol_19,10.1016/j.quageo.2013.01.006,Sa,250,500,32632,WGS84_UTM_32N,22.65,2629.99,319.63,513.4,207.7,-9999,-9999,-9999,NA,64100,2860,307,14,S2007,0.9124,ETH-Zurich,64100,2860,317.63,59.27,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,46.7206,734.18,0,0.91,4.02,7.79,0.972,1,1,7.587,0.08417,0.00377,0.00236,0.01506,0.01571,341,15.2,25.3,351,15.7,26,300.36,56.08,5.59,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,27.1760006,mt,100,859.3499756,-1.99292,13534.90039,0.376242
S143WTS027,P2,S143,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,Po floodplain,Tanaro Riv.,NA,Wittmann:2016po,OAID-000178,Wittmann,2016,Earth_Planet_Sc_Lett_452,10.1016/j.epsl.2016.07.017,Sa,63,125,32632,WGS84_UTM_32N,8119.22,636.61,595.36,203.05,190.9,-9999,-9999,-9999,NA,32100,1400,149.4,6.6,07KNSTD,1,Cologne,32100,1400,173.57,36.81,203000,29000,-9999.99,-9999.99,KNSTD,1,Cologne,203000,29000,203.81,52,NA,44.5885,922.48,42,1.45,0.02,1.944,0.99,1,1,1.908,0.046,0.00202,0.00385,0.00873,0.00975,172,7.52,12.6,174,7.58,12.8,173.47,36.79,0.06,1.944,0.99,1,1,1.908,0.05401,0.00794,0.00451,0.01032,0.01378,195,28,32.6,197,28.2,32.9, , , , , , , ,11.4778996,sc,49,819.0120239,11.2414999,7464.910156,0.700805
S319WTS009,TS10-23,S319,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Tianshan,Manas,NA,Charreau:2023unsteady,OAID-000026,Charreau,2023,Tectonophysics_848,10.1016/j.tecto.2022.229702,Sa,200,800,32644,WGS84_UTM_44N,4482.41,3391.78,675.62,507.06,242.28,-9999,-9999,2010,NA,126000,5000,160,10,07KNSTD,1,ASTER,126000,5000,244.24,44.69,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,43.5158,660.75,62,537.08,12.01,12.097,0.958,1,1,11.603,0.06472,0.00258,0.00126,0.01149,0.01184,241,9.59,17.2,251,9.98,17.9,201.25,36.9,19.3,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,26.8876991,sc,27,347.8699951,-5.5443401,5638.930176,0.244758
S094WTS010,CHO0823S,S094,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHL,Chilean Andes,Choapa,NA,Carretier:2013andes,OAID-000022,Carretier,2013,Geology_41,10.1130/G33735.1,Sa,0,0,32719,WGS84_UTM_19S,5986.43,2000.19,1123.31,358.18,186.13,-9999,-9999,-9999,NA,218067,4725,50,5,07KNSTD,1,ASTER,218067,4725,55.07,10.4,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,-31.7758,766.78,86,8.32,0.14,4.518,0.981,1,1,4.422,0.01459,0.00032,0.00058,0.00267,0.00276,51.6,1.13,3.26,52.5,1.14,3.32,54.9,10.37,0.32,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,19.7064991,va,25,225.0630035,7.8584399,1570.359985,0.242102
S274WTS010,11PH018,S274,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Alaska Range,Skwentna Riv.,NA,Matmon:2020alaska,OAID-000099,Matmon,2020,Geosphere_16,10.1130/ges02190.1,Sa,250,850,32606,WGS84_UTM_06N,4558.91,1081.14,567.72,355.77,270.86,-9999,-9999,-9999,NA,8290,2890,897.2,331.9,07KNSTD,1,ASTER,8290,2890,1061.36,468.63,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,61.8543,866.35,84,810.9,17.79,3.246,0.972,1,1,3.134,0.28126,0.11171,0.01631,0.05175,0.12419,1160,403,409,1180,413,419,773.06,342.53,31.43,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,19.5839996,ss,41,608.3549805,-3.0713601,10867.09961,0.440113
S076WTS001,Arr_2,S076,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),NPL,Nepalese Himalaya,Trishuli Riv.,NA,Andermann:2011nepal,OAID-000005,Andermann,2011,phdthesis, ,Sa,250,1000,32645,WGS84_UTM_45N,6058.1,3658.22,1659.06,504.63,281.44,-9999,-9999,-9999,NA,17940,1640,1520,140,07KNSTD,1,ASTER,17940,1640,1585.71,318.7,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,28.3242,615.95,48,796.77,13.2,11.213,0.958,1,1,10.691,0.42021,0.03875,0.00869,0.07454,0.08446,1240,113,135,1280,117,140,1211.55,244.28,26.75,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,26.7768993,mt,61,854.8560181,5.86233,6761.819824,0.418605
S274WTS016,16PH005,S274,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Alaska Range,Delta Riv.,NA,Matmon:2020alaska,OAID-000099,Matmon,2020,Geosphere_16,10.1130/ges02190.1,Sa,250,850,32606,WGS84_UTM_06N,1586.89,1186.65,284.1,186.8,183.12,-9999,-9999,-9999,NA,10190,1870,734.7,161.9,07KNSTD,1,ASTER,10190,1870,886.93,239.97,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,63.1615,865.85,21,80.59,5.08,3.258,0.992,1,1,3.226,0.23504,0.04468,0.01342,0.04322,0.06359,965,177,186,972,178,187,815.01,220.97,8.45,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,10.5809002,vb,71,307.2030029,-4.9282699,5551.589844,0.553862
S082WTS015,Boo-M3,S082,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ARG,Southern Central Andes,Rio Santa Maria,NA,Bookhagen:2012andes,OAID-000015,Bookhagen,2012,Earth_Planet_Sc_Lett_327--328,10.1016/j.epsl.2012.02.005,Sa,250,500,32719,WGS84_UTM_19S,6096.75,3045.53,789.56,189.69,172.39,-9999,-9999,-9999,NA,335630,7540,60,1.4,07KNSTD,1,LLNL-CAMS,335630,7540,51.79,9.57,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,-26.7543,693.9,100,9.75,0.16,6.552,0.994,1,1,6.502,0.01372,0.00031,0.0004,0.00249,0.00254,48.9,1.11,3.11,49.2,1.11,3.12,51.62,9.54,0.33,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,10.7407999,mt,38,184.6920013,11.0422001,923.7150269,0.204994
S086WTS004,NEP065,S086,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),NPL,Marsyandi Basin,Marsyandi,NA,Godard:2012marsyandi,OAID-000066,Godard,2012,J_Geophys_Res-Earth_117,10.1029/2011jf002230,Sa,250,1000,32644,WGS84_UTM_44N,3940.17,3795.7,1705.25,558.55,292.11,-9999,-9999,2009,NA,9520,800,2000,300,07KNSTD,1,ASTER,9520,800,3205.42,632.38,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,28.44,603.34,43,780.05,19.83,12.184,0.949,1,1,11.485,0.84944,0.0719,0.01655,0.15047,0.16758,2400,201,246,2510,211,258,2035.91,404.04,44.63,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,29.1854992,mt,68,866.809021,4.92734,7277.140137,0.413659
S199WTS004,Sample_4,S199,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHL,"Western Cordillera, N CHL",Camarones,NA,Starke:2017chile,OAID-000154,Starke,2017,J_Geophys_Res-Earth_122,10.1002/2016jf004153,Sa,500,1000,32719,WGS84_UTM_19S,4532.7,2478.11,1205.18,222.77,175.92,-9999,-9999,-9999,Sample name: 15CL012,80915,5369,165.2,25.3,07KNSTD,1,Cologne,80915,5369,147.5,29.31,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,-19.0539,730.58,96,3.74,0.08,4.39,0.992,1,1,4.359,0.03909,0.00262,0.00166,0.00712,0.00777,129,8.57,11.5,130,8.62,11.5,147.17,29.25,0.22,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,12.5586996,su,45,75.9862976,11.6002998,465.7000122,0.105898
S304WTS010,DB10,S304,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),ITA,W ITA Alps,Dora Baltea (trunk),NA,Serra:2022dora,OAID-001022,Serra,2022,Earth_Surf_Dynamics_10,10.5194/esurf-10-493-2022,Sa,250,400,32632,WGS84_UTM_32N,2468.2,2164.32,699.46,510.67,259.97,-9999,-9999,-9999,NA,13500,700,1120,90,S2007N,1,ETH-Zurich,13500,700,1171.09,223.13,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,45.7281,766.36,22,151.4,6.13,6.11,0.955,1,1,5.828,0.31034,0.01614,0.01086,0.05584,0.05913,1270,65.8,99.7,1320,68.7,104,1047.46,200.15,11.14,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,27.052,mt,71,1266.23999,1.6336401,15068.7002,0.4981
S076WTS015,NP_A39s,S076,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),NPL,Nepalese Himalaya,Bhudi Gandaki,NA,Andermann:2011nepal,OAID-000005,Andermann,2011,phdthesis, ,Sa,250,1000,32645,WGS84_UTM_45N,3881.57,4266.4,1258.6,619.28,299.82,-9999,-9999,-9999,NA,15270,2540,2120,350,07KNSTD,1,ASTER,15270,2540,2223.07,548.6,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,28.4777,586.17,36,625.32,16.15,13.598,0.939,1,1,12.804,0.58911,0.1008,0.01064,0.10422,0.14538,1680,280,297,1780,296,314,1683.67,416.08,27.61,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,31.7691002,mt,53,571.0050049,2.4972,5213.790039,0.338348
S274WTS003,14PH027,S274,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Alaska Range,Kahiltna Riv.,NA,Matmon:2020alaska,OAID-000099,Matmon,2020,Geosphere_16,10.1130/ges02190.1,Sa,250,850,32606,WGS84_UTM_06N,1057.71,1622.3,965.29,373.62,367.01,-9999,-9999,-9999,NA,20200,2060,619,98.8,07KNSTD,1,ASTER,20200,2060,713.92,150.68,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,62.7336,791.84,38,651.01,61.55,5.646,0.962,1,1,5.298,0.18919,0.01951,0.00701,0.03412,0.03993,808,82.4,95.2,838,85.5,98.8,196.09,42.55,113.81,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,20.4867001,ig,60,635.085022,-6.0672002,12346.09961,0.215644
S274WTS001,14PH025,S274,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Alaska Range,Kahiltna Riv.,NA,Matmon:2020alaska,OAID-000099,Matmon,2020,Geosphere_16,10.1130/ges02190.1,Sa,250,850,32606,WGS84_UTM_06N,1056.26,1624.2,964.59,374.07,367.06,-9999,-9999,-9999,NA,24480,2170,510.5,772,07KNSTD,1,ASTER,24480,2170,603.5,123.4,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,62.7529,788.27,38,651.01,61.63,5.795,0.96,1,1,5.434,0.15993,0.0143,0.0058,0.02883,0.0327,682,60.5,72.7,709,62.9,75.5,160.98,33.81,115.77,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,20.5093002,ig,60,635.1149902,-6.07303,12347.59961,0.215184
S094WTS018,TEN1,S094,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHL,Chilean Andes,Teno,NA,Carretier:2013andes,OAID-000022,Carretier,2013,Geology_41,10.1130/G33735.1,Sa,0,0,32719,WGS84_UTM_19S,1228.28,2072.65,647.57,461.48,213.52,-9999,-9999,-9999,NA,73331,24050,180,60,07KNSTD,1,ASTER,73331,24050,162.72,67.35,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,-35.0785,779.65,91,8.96,0.73,4.499,0.967,1,1,4.355,0.04312,0.01591,0.00187,0.00786,0.01785,140,46.1,46.8,144,47.4,48.1,160.38,66.4,1.45,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,24.7723999,va,64,723.5969849,6.79246,5176.459961,0.290471
S045WTS009,NB-6-04,S045,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,Namche Barwa-Gyala Peri Massif,ND,NA,Finnegan:2008namche,OAID-000059,Finnegan,2008,Geol_Soc_Am_Bull_120,10.1130/B26224.1,Sa,250,500,32646,WGS84_UTM_46N,1688.36,4335.87,532.84,562,274.7,-9999,-9999,-9999,NA,23554,949,1530,310,KNSTD,0.9042,LLNL-CAMS,21298,858,1563.6,285.37,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,30.0191,596.09,80,173.4,10.27,13.23,0.947,1,1,12.556,0.41435,0.01672,0.00771,0.07335,0.07562,1210,48.7,86.3,1270,51,90.5,1357.63,247.99,14.1,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,29.3360004,ss,80,648.5650024,0.1912,6965.509766,0.481859
S293WTS019,M7,S293,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,E Himalayan Syntaxis,Parlung mainstream,NA,Zhang:2021paired,OAID-001017,Zhang,2021,Earth_Surf_Proc_Land_46,10.1002/esp.5105,Sa,250,500,32646,WGS84_UTM_46N,574.79,4854.75,358.35,344.46,313.05,-9999,9,2017,NA,62800,4600,634,68,07KNSTD,1,Tianjin,62800,4600,675.86,129.65,387000,15000,-9999.99,-9999.99,KNSTD,1,Tianjin,387000,15000,798.16,144.6,NA,29.5625,558.5,67,156.59,27.3,16.62,0.968,1,1,16.081,0.1791,0.0132,0.0027,0.03161,0.03436,539,39.5,50.7,556,40.7,52.3,455.14,87.41,39.03,16.62,0.968,1,1,16.081,0.21151,0.00822,0.00298,0.03731,0.03832,582,22.6,55,600,23.3,56.7, , , , , , , ,19.0067997,pa,49,675.4810181,-2.2574201,8633.980469,0.189606
S037WTS013,Mag11-2,S037,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHE,Swiss Alps,Maggia,NA,Wittmann:2007switzerland,OAID-000178,Wittmann,2007,J_Geophys_Res-Earth_112,10.1029/2006JF000729,Sa,500,800,32632,WGS84_UTM_32N,450.11,1607.81,518.11,600.8,287.44,-9999,-9999,-9999,NA,21000,3600,770,130,S555,0.9124,ETH-Zurich,19160,3285,639.64,164.48,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,46.3728,804.56,92,10.57,2.35,4.703,0.94,1,1,4.464,0.1695,0.02998,0.00738,0.03077,0.04359,672,115,122,711,122,129,613.76,157.96,4.13,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,30.9974003,mt,82,1309.589966,2.9773901,15736.7998,0.621027
S070WTS006,07C46-(Q6),S070,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,Qilian Shan,ND,NA,Palumbo:2010tibet,OAID-000125,Palumbo,2010,Terra_Nova_23,10.1111/j.1365-3121.2010.00982.x,Sa,250,710,32647,WGS84_UTM_47N,567.17,3788.99,561.16,508,200.5,-9999,-9999,-9999,NA,47600,3900,833,68,S2007,0.9124,ETH-Zurich,43430,3558,778.19,152.66,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,39.192,633.16,74,18.23,3.21,13.222,0.962,1,1,12.75,0.20622,0.01702,0.00377,0.03651,0.04045,683,56,69,707,58,71.4,739.45,145.12,5.1,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,26.9305992,ss,28,337.6319885,-3.8299601,3410.979981,0.284722
S108WTS005,00-3b-xf,S108,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),BTN,Bhutanese Himalaya,Puna Tsang Chu,NA,Portenga:2015bhutanese,OAID-000130,Portenga,2015,Geomorphology_233,10.1016/j.geomorph.2014.09.027,Sa,250,850,32646,WGS84_UTM_46N,737.35,4428.16,585.27,529.75,227.71,-9999,-9999,-9999,NA,52400,1700,666,57,07KNSTD,1,LLNL-CAMS,52400,1700,643.95,116.51,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,27.9155,589.15,100,25.7,3.49,13.167,0.965,1,1,12.731,0.17065,0.00555,0.00312,0.03021,0.03088,511,16.6,34.5,529,17.2,35.6,609.24,110.29,5.54,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,27.9123993,mt,62,359.1839905,0.173921,3384.73999,0.46467
S096WTS012,RD47,S096,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),FRA,Western Alps,Guil,NA,Glotzbach:2013glacially,OAID-000065,Glotzbach,2013,J_Geophys_Res-Earth_118,10.1002/jgrf.20107,Sa,250,500,32632,WGS84_UTM_32N,475.66,2216.25,382.29,457.9,192,-9999,-9999,-9999,NA,26020,2520,580,130,07KNSTD,1,ASTER,26020,2520,594.11,123.66,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,44.7573,769.74,75,0.02,0,5.868,0.97,1,1,5.695,0.15744,0.01541,0.00563,0.02837,0.03277,632,61.3,71.8,651,63.1,73.9,594.04,123.65,0.01,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,24.6030006,mt,68,1183.670044,2.2835801,12680.5,0.557774
