OBSID1,OBSID2,STUDYID,CRN_SUBCMP,DBDOI,DBVERNO,CNTRY,REGION_INT,BASIN,AHGFL1,REFDBID,OAID,AUTHOR,PUBYEAR,REFID,REFDOI,MATERIAL,SIZEMIN,SIZEMAX,PROJEPSGID,PROJECTION,AREA,ELEV_AVE,ELEV_STD,SLP_AVE,SLP_STD,SMP_DAY,SMP_MONTH,SMP_YEAR,SMP_COMMT,BE10NP,BE10NP_ERR,BE10EP,BE10EP_ERR,BESTND,BECORR,BEAMS,BE10NC,BE10NC_ERR,EBE_MMKYR,EBE_ERR,AL26NP,AL26NP_ERR,AL26EP,AL26EP_ERR,ALSTND,ALCORR,ALAMS,AL26NC,AL26NC_ERR,EAL_MMKYR,EAL_ERR,IGSNID,CENTR_LAT,ATM_PRESS,QTZ_PCNT,GLA_KM2,GLA_PCNT,BEPROD,BETOPO,BESELF,BESNOW,BETOTS,EBE_GCMYR,ERRBE_AMS,ERRBE_MUON,ERRBE_PROD,ERRBE_TOT,EBEL,EBEL_INT,EBEL_EXT,EBELNS,EBELNS_INT,EBELNS_EXT,EBEGLA,EBEGLA_ERR,EBE_DIFF,ALPROD,ALTOPO,ALSELF,ALSNOW,ALTOTS,EAL_GCMYR,ERRAL_AMS,ERRAL_MUON,ERRAL_PROD,ERRAL_TOT,EALL,EALL_INT,EALL_EXT,EALLNS,EALLNS_INT,EALLNS_EXT,REGION_REG,DIV_ADMIN,AHGFL2,RIVNAME,RIVDIV,IBRACODE,IBRAREGION,SLP_deg,rock_major,rock_count,MAP,MAT,AI,NDVI_STS
S127WTS008,RG-39,S127,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),BOL,"Central Andes, Eastern Cordillera",San Pedro Riv.,NA,Kober:2015bolivian,OAID-000087,Kober,2015,Tectonophysics_657,10.1016/j.tecto.2015.06.037,Sa,250,1000,32720,WGS84_UTM_20S,1680.76,3154.62,485.29,353.35,159.32,-9999,-9999,-9999,NA,44304,2552,423.55,39.94,S2007,0.9124,ETH-Zurich,44304,2552,329.82,63.76,466912,78763,-9999.99,-9999.99,ZAL94N,1,ETH-Zurich,466912,78763,229.07,58.15,NA,-18.2686,694.82,100,-9999.99,-99.99,5.457,0.984,1,1,5.375,0.0874,0.00506,0.00326,0.01579,0.0169,273,15.7,22.5,276,15.9,22.8,-9999.99,-9999.99,-9999.99,5.457,0.984,1,1,5.375,0.0607,0.01059,0.00211,0.01099,0.01541,181,30.7,34.4,184,31.1,34.9, , , , , , , ,19.4608994,sm,99,608.1229858,14.1777,3526.899902,0.356938
S151WTS016,Cho-4,S151,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),TWN,Hsueshan Range,Choshui Riv.,NA,Derrieux:2014taiwan,OAID-000046,Derrieux,2014,J_Asian_Earth_Sci_88,10.1016/j.jseaes.2014.03.012,Sa,250,1000,32651,WGS84_UTM_51N,1557.89,1978.22,667.26,553.42,224.54,-9999,-9999,-9999,NA,9390,970,1200,200,07KNSTD,1,ASTER,9390,970,926.38,203.52,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,23.8155,792.34,95,-9999.99,-99.99,3.214,0.961,1,1,3.096,0.24549,0.02566,0.01439,0.0452,0.05393,738,76.2,87.8,762,78.8,90.7,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,28.9610004,ss,68,3029.419922,13.0108004,31223.90039,0.815424
S261WTS046,Sample_49,S261,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Grand Staircase (UT),0 km upstream (white),NA,Riley:2020staircase,OAID-000186,Riley,2020,phdthesis,10.26076/d21b-e459,Sa,250,500,32612,WGS84_UTM_12N,1173.5,2022.48,244.88,183.44,155.79,-9999,-9999,-9999,NA,61800,5800,180,30,07KNSTD,1,PRIME-Lab,61800,5800,188.4,39.66,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,37.4954,795.41,94,-9999.99,-99.99,4.269,0.993,1,1,4.24,0.04993,0.00475,0.00224,0.00911,0.01051,177,16.6,19.6,178,16.7,19.7,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,10.3948002,ss,56,297.6359863,8.3894997,1685.73999,0.260872
S009WTS004,reg-12A,S009,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),DEU,Danube catchment (BY),Regen,NA,Schaller:2001european,OAID-000147,Schaller,2001,Earth_Planet_Sc_Lett_188,10.1016/s0012-821x(01)00320-x,Sa,1000,2000,32632,WGS84_UTM_32N,1402.83,548.43,123.07,134.82,75.41,-9999,-9999,-9999,NA,245000,24000,24.8,2.4,S555,0.9124,ETH-Zurich,223538,21898,24.25,5.63,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,49.0557,930.84,99,-9999.99,-99.99,1.925,0.998,1,1,1.921,0.00643,0.00066,0.00047,0.00125,0.00149,24.2,2.4,2.81,24.3,2.41,2.81,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,7.6783199,mt,82,1055.01001,6.26158,14166.5,0.798201
S135WTS020,LUCN-53,S135,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),COL,Eastern Andean Cordillera,Sogamoso Riv.,NA,Struth:2016colombia,OAID-000159,Struth,2016,Earth_Surf_Proc_Land_42,10.1002/esp.4079,Sa,250,500,32718,WGS84_UTM_18S,2082.36,2252.67,739.05,327.01,196.7,-9999,-9999,-9999,NA,182200,4480,46.4,6.2,07KNSTD,1,PRIME-Lab,182200,4480,45.78,8.99,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,6.2723,764.26,100,-9999.99,-99.99,3.073,0.983,1,1,3.013,0.01213,0.0003,0.00066,0.00227,0.00238,46.8,1.16,3.01,47.4,1.17,3.05,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,18.1082993,sm,50,1558.900024,15.5675001,11202.90039,0.699304
S009WTS008,reg-14,S009,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),DEU,Danube catchment (BY),Regen,NA,Schaller:2001european,OAID-000147,Schaller,2001,Earth_Planet_Sc_Lett_188,10.1016/s0012-821x(01)00320-x,Sa,500,1000,32632,WGS84_UTM_32N,1027.67,670.11,148.8,142.38,76.78,-9999,-9999,-9999,NA,293000,21000,20.8,1.5,S555,0.9124,ETH-Zurich,267333,19160,20.51,4.53,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,49.0257,928.29,100,-9999.99,-99.99,1.961,0.998,1,1,1.958,0.00544,0.00041,0.00038,0.00106,0.0012,20.5,1.49,1.93,20.6,1.5,1.94,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,8.1033096,mt,80,1087.420044,6.1683698,14610,0.804423
S182WTS026,CH-045,S182,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),CHN,Yunnan,Weiyuan,NA,Schmidt:2016yunnan,OAID-000151,Schmidt,2016,Earth_Surf_Dynamics_4,10.5194/esurf-4-819-2016,Sa,250,850,32647,WGS84_UTM_47N,1870.09,1610.07,328.42,337.49,151.08,-9999,-9999,-9999,NA,60900,2960,139.91,11.76,07KNSTD,1,SUERC,60900,2960,111.31,23,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,23.9549,835.04,100,-9999.99,-99.99,2.416,0.985,1,1,2.379,0.0295,0.00145,0.00207,0.00555,0.00609,96.9,4.72,7.43,98,4.78,7.52,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,18.6490002,ss,68,1142.479981,18.2502995,8133.100098,0.767977
S135WTS019,LUCN-50,S135,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),COL,Eastern Andean Cordillera,Suarez Riv.,NA,Struth:2016colombia,OAID-000159,Struth,2016,Earth_Surf_Proc_Land_42,10.1002/esp.4079,Sa,250,500,32718,WGS84_UTM_18S,1184.88,2546.21,401.06,193.9,129.46,-9999,-9999,-9999,NA,981670,19100,9.8,1.3,07KNSTD,1,PRIME-Lab,981670,19100,9.14,1.79,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,5.6634,745.98,100,-9999.99,-99.99,3.445,0.995,1,1,3.426,0.00242,0.00005,0.00009,0.00046,0.00048,10.4,0.21,0.66,10.4,0.21,0.67,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,10.9735003,sm,99,1418.300049,14.4243002,10445.59961,0.574998
S049WTS022,05WS13,S049,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),USA,Wassuk Range (NV),ND,NA,Densmore:2009footwalls,OAID-000045,Densmore,2009,Geology_37,10.1130/G30164A,Sa,250,500,32612,WGS84_UTM_12N,32.04,2531.02,157.63,254.87,140.99,-9999,-9999,-9999,NA,348000,41000,58.4,7,S555,0.9124,ETH-Zurich,317515,37408,51.1,11.26,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,38.3311,746.24,92,-9999.99,-99.99,6.101,0.992,1,1,6.054,0.01354,0.00164,0.00042,0.00246,0.00298,52.2,6.18,6.91,52.5,6.23,6.96,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,14.2986002,pa,87,292.7229919,5.1148901,1716.810059,0.33522
S218WTS017,MES3,S218,INT,10.71747/uow-r3gk326m.28216865.v1,v2.3(4),NAM,Western Namibian escarpment,"Messum Crater, Messum Riv.",NA,Matmon:2018namibia,OAID-000099,Matmon,2018,Geomorphology_313,10.1016/j.geomorph.2018.04.008,Sa,250,850,32733,WGS84_UTM_33S,1055.19,614.19,308.7,95.87,117.86,-9999,-9999,-9999,NA,1097000,40000,2.08,0.31,07KNSTD,1,ASTER,1097000,40000,2.49,0.58,-9999,-9999,-9999.99,-9999.99,NA,0,NA,-9999,-9999,-9999.99,-9999.99,NA,-21.3183,939.7,36,-9999.99,-99.99,1.12,0.998,1,1,1.117,0.00066,0.00003,0.00004,0.00015,0.00015,2.53,0.1,0.2,2.53,0.1,0.2,-9999.99,-9999.99,-9999.99,-99.999,-9.999,-9.999,-9.999,-99.999,-9.99999,-9.99999,-9.99999,-9.99999,-9.99999,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99, , , , , , , ,5.4762101,vb,41,73.9924011,20.8792,316.5190125,0.0976811
